release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
2017-03-03,127000000.0,615461394.0,,389184326.0,2017,left_only,226277068.0,Logan,tt3315342,137,8.1,621345.0,42.0,42.0,both
2007-06-29,150000000.0,626549695.0,,420104041.0,2007,left_only,206445654.0,Ratatouille,tt0382932,111,8.0,620497.0,44.0,44.0,both
1996-07-19,3100000.0,71558971.0,,55057186.0,1996,left_only,16501785.0,Trainspotting,tt0117951,93,8.1,620180.0,,,both
2013-10-18,20000000.0,181025343.0,FoxS,131100000.0,2013.0,both,56671993.0,12 Years a Slave,tt2024544,134,8.1,619868.0,46.0,46.0,both
2004-12-15,30000000.0,231928227.0,,131436024.0,2004,left_only,100492203.0,Million Dollar Baby,tt0405159,132,8.1,619092.0,40.0,40.0,both
2012-11-08,200000000.0,1110526981.0,Sony,804200000.0,2012.0,both,304360277.0,Skyfall,tt1074638,143,7.7,617722.0,50.0,50.0,both
2016-03-25,250000000.0,867500281.0,WB,543300000.0,2016.0,both,330360194.0,Batman v Superman: Dawn of Justice,tt2975590,152,6.4,608340.0,48.0,48.0,both
2010-10-01,40000000.0,224922135.0,Sony,128000000.0,2010.0,both,96962694.0,The Social Network,tt1285016,120,7.7,604412.0,52.0,52.0,both
2013-11-22,130000000.0,864868047.0,LGF,440300000.0,2013.0,both,424668047.0,The Hunger Games: Catching Fire,tt1951264,146,7.5,600191.0,53.0,53.0,both
1996-03-08,7000000.0,51204567.0,,26636816.0,1996,left_only,24567751.0,Fargo,tt0116282,98,8.1,596745.0,,,both
2001-05-18,50000000.0,491812794.0,,224157783.0,2001,left_only,267655011.0,Shrek,tt0126029,90,7.8,596603.0,,,both
2007-08-03,130000000.0,444043396.0,,216572326.0,2007,left_only,227471070.0,The Bourne Ultimatum,tt0440963,115,8.0,595489.0,42.0,42.0,both
2013-12-13,250000000.0,960366855.0,WB (NL),700000000.0,2013.0,both,258366855.0,The Hobbit: The Desolation of Smaug,tt1170358,161,7.8,588376.0,56.0,56.0,both
2018-02-16,200000000.0,1348258224.0,BV,646900000.0,2018.0,both,700059566.0,Black Panther,tt1825683,134,7.3,587615.0,42.0,42.0,both
2015-06-19,175000000.0,854235992.0,BV,501100000.0,2015.0,both,356461711.0,Inside Out,tt2096673,95,8.1,587116.0,57.0,57.0,both
2007-07-02,151000000.0,708272592.0,,389026399.0,2007,left_only,319246193.0,Transformers,tt0418279,144,7.0,586968.0,42.0,42.0,both
2013-06-21,190000000.0,531514650.0,Par.,337600000.0,2013.0,both,202359711.0,World War Z,tt0816711,116,7.0,586906.0,47.0,47.0,both
2016-08-05,175000000.0,746059887.0,WB,421700000.0,2016.0,both,325100054.0,Suicide Squad,tt1386697,123,6.0,582108.0,52.0,52.0,both
2014-06-06,178000000.0,370541256.0,WB,270300000.0,2014.0,both,100206256.0,Edge of Tomorrow,tt1631867,113,7.9,582066.0,51.0,51.0,both
2013-05-31,75000000.0,342769200.0,LG/S,234000000.0,2013.0,both,117723989.0,Now You See Me,tt1670345,115,7.3,581742.0,48.0,48.0,both
2013-11-08,150000000.0,644602516.0,BV,438200000.0,2013.0,both,206362140.0,Thor: The Dark World,tt1981115,112,6.9,578552.0,49.0,49.0,both
2015-02-13,94000000.0,404561724.0,Fox,286100000.0,2015.0,both,128261724.0,Kingsman: The Secret Service,tt2802144,129,7.7,576053.0,48.0,48.0,both
